object_id,object_name,object_kind,identifier_parameters_json,attributes_count,attributes_json,applicable_nf_json,applicable_products_json,category_path_json,description,commands_count
ACC,ACC,entity,"[""SERVICEINSTANCE""]",2,"[{""parameter_name"": ""RUNAME"", ""data_type"": ""string"", ""required_mode"": ""optional"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""SERVICEINSTANCE"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}]",[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""单体服务公共功能管理"", ""系统管理"", ""资源管理"", ""加速器管理""]",该命令用于显示加速器的信息。,2
ACCESSLISTFUNC,ACCESSLISTFUNC,entity,[],0,[],[],"[""UNC""]","[""业务服务管理"", ""会话管理"", ""接入管理"", ""黑白名单控制""]",,2
ACCESSLISTIP,ACCESSLISTIP,entity,[],0,[],[],"[""UNC""]","[""业务服务管理"", ""会话管理"", ""接入管理"", ""黑白名单地址列表""]",,3
ACL,ACL,entity,"[""ACLNAME"", ""MATCHORDER""]",3,"[{""parameter_name"": ""ACLNAME"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""MATCHORDER"", ""data_type"": ""enum"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""CFGDOMAINNAME"", ""data_type"": ""string"", ""required_mode"": ""optional"", ""default_value"": ""无"", ""condition"": """"}]","[""PGW-U"", ""SGW-U"", ""UPF""]","[""UDG""]","[""用户面服务管理"", ""业务安全防护"", ""用户ACL管理"", ""ACL""]",![](增加ACL（ADD ACL）_82837747.assets/notice_3.0-zh-cn.png),4
ACL6ADVRULECNTVERBOSE,ACL6ADVRULECNTVERBOSE,entity,"[""ACLNAME"", ""ACLRULENAME""]",2,"[{""parameter_name"": ""ACLNAME"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""ACLRULENAME"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}]",[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""VNRS功能管理"", ""操作维护"", ""系统调测"", ""ACL""]",该命令用于查询高级IPv6 ACL规则的匹配计数详细信息。可应用于路由策略等使用场景的匹配计数详细信息查询。,2
ACL6BASICRULECNTVERBOSE,ACL6BASICRULECNTVERBOSE,entity,"[""ACLNAME"", ""ACLRULENAME""]",2,"[{""parameter_name"": ""ACLNAME"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""ACLRULENAME"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}]",[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""VNRS功能管理"", ""操作维护"", ""系统调测"", ""ACL""]",该命令用于查询基本IPv6 ACL规则的匹配计数详细信息。可应用于路由策略等使用场景的匹配计数详细信息查询。,2
ACLADV6RULECNT,ACLADV6RULECNT,entity,"[""ACLNAME"", ""ACLRULENAME""]",2,"[{""parameter_name"": ""ACLNAME"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""ACLRULENAME"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}]",[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""VNRS功能管理"", ""IP服务"", ""ACL管理"", ""IPv6 ACL规则匹配计数""]",该命令用于显示高级IPv6 ACL规则的匹配计数信息。可应用于路由策略等使用场景的匹配计数信息查询。,2
ACLADVRULECNT,ACLADVRULECNT,entity,"[""ACLNAME"", ""ACLRULENAME""]",2,"[{""parameter_name"": ""ACLNAME"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""ACLRULENAME"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}]",[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""VNRS功能管理"", ""IP服务"", ""ACL管理"", ""ACL规则匹配计数""]",该命令用于显示高级ACL规则的匹配计数信息。可应用于路由策略等使用场景的匹配计数信息查询。,2
ACLADVRULECNTVERBOSE,ACLADVRULECNTVERBOSE,entity,"[""ACLNAME"", ""ACLRULENAME""]",2,"[{""parameter_name"": ""ACLNAME"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""ACLRULENAME"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}]",[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""VNRS功能管理"", ""操作维护"", ""系统调测"", ""ACL""]",该命令用于查询高级ACL规则的匹配计数详细信息。可应用于路由策略等使用场景的匹配计数详细信息查询。,2
ACLBASIC6RULECNT,ACLBASIC6RULECNT,entity,"[""ACLNAME"", ""ACLRULENAME""]",2,"[{""parameter_name"": ""ACLNAME"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""ACLRULENAME"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}]",[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""VNRS功能管理"", ""IP服务"", ""ACL管理"", ""IPv6 ACL规则匹配计数""]",该命令用于显示基本IPv6 ACL规则的匹配计数信息。可应用于路由策略等使用场景的匹配计数信息查询。,2
