command_id,object_name,relation_type
UDG:MOD ACLGROUPIPSEC,ACLGROUPIPSEC,modifies
UDG:RMV ACLGROUPIPSEC,ACLGROUPIPSEC,deletes
UDG:ADD ACLGROUPIPSEC,ACLGROUPIPSEC,creates
UDG:LST ACLGROUPIPSEC,ACLGROUPIPSEC,operates_on
UNC:MOD ACLGROUPIPSEC,ACLGROUPIPSEC,modifies
UNC:RMV ACLGROUPIPSEC,ACLGROUPIPSEC,deletes
UNC:ADD ACLGROUPIPSEC,ACLGROUPIPSEC,creates
UNC:LST ACLGROUPIPSEC,ACLGROUPIPSEC,operates_on
UDG:DSP ACLIFRULECNT,ACLIFRULECNT,operates_on
UNC:DSP ACLIFRULECNT,ACLIFRULECNT,operates_on
UDG:DSP ACLIFRULECNTVERBOSE,ACLIFRULECNTVERBOSE,operates_on
UNC:DSP ACLIFRULECNTVERBOSE,ACLIFRULECNTVERBOSE,operates_on
UDG:MOD ACLNODE,ACLNODE,modifies
UDG:RMV ACLNODE,ACLNODE,deletes
UDG:ADD ACLNODE,ACLNODE,creates
UDG:LST ACLNODE,ACLNODE,operates_on
UDG:MOD ACLNODEBINDACL,ACLNODEBINDACL,modifies
UDG:RMV ACLNODEBINDACL,ACLNODEBINDACL,deletes
UDG:ADD ACLNODEBINDACL,ACLNODEBINDACL,creates
UDG:LST ACLNODEBINDACL,ACLNODEBINDACL,operates_on
UDG:MOD ACLRULEADV4,ACLRULEADV4,modifies
UDG:RMV ACLRULEADV4,ACLRULEADV4,deletes
UDG:ADD ACLRULEADV4,ACLRULEADV4,creates
UDG:DSP ACLRULEADV4,ACLRULEADV4,operates_on
UDG:LST ACLRULEADV4,ACLRULEADV4,operates_on
UNC:MOD ACLRULEADV4,ACLRULEADV4,modifies
UNC:RMV ACLRULEADV4,ACLRULEADV4,deletes
UNC:ADD ACLRULEADV4,ACLRULEADV4,creates
UNC:DSP ACLRULEADV4,ACLRULEADV4,operates_on
UNC:LST ACLRULEADV4,ACLRULEADV4,operates_on
UDG:MOD ACLRULEADV4IPSEC,ACLRULEADV4IPSEC,modifies
UDG:RMV ACLRULEADV4IPSEC,ACLRULEADV4IPSEC,deletes
UDG:ADD ACLRULEADV4IPSEC,ACLRULEADV4IPSEC,creates
UDG:LST ACLRULEADV4IPSEC,ACLRULEADV4IPSEC,operates_on
UNC:MOD ACLRULEADV4IPSEC,ACLRULEADV4IPSEC,modifies
UNC:RMV ACLRULEADV4IPSEC,ACLRULEADV4IPSEC,deletes
UNC:ADD ACLRULEADV4IPSEC,ACLRULEADV4IPSEC,creates
UNC:LST ACLRULEADV4IPSEC,ACLRULEADV4IPSEC,operates_on
UDG:MOD ACLRULEADV6,ACLRULEADV6,modifies
UDG:RMV ACLRULEADV6,ACLRULEADV6,deletes
UDG:ADD ACLRULEADV6,ACLRULEADV6,creates
UDG:DSP ACLRULEADV6,ACLRULEADV6,operates_on
UDG:LST ACLRULEADV6,ACLRULEADV6,operates_on
UNC:MOD ACLRULEADV6,ACLRULEADV6,modifies
UNC:RMV ACLRULEADV6,ACLRULEADV6,deletes
UNC:ADD ACLRULEADV6,ACLRULEADV6,creates
UNC:DSP ACLRULEADV6,ACLRULEADV6,operates_on
UNC:LST ACLRULEADV6,ACLRULEADV6,operates_on
UDG:MOD ACLRULEADV6IPSEC,ACLRULEADV6IPSEC,modifies
UDG:RMV ACLRULEADV6IPSEC,ACLRULEADV6IPSEC,deletes
UDG:ADD ACLRULEADV6IPSEC,ACLRULEADV6IPSEC,creates
UDG:LST ACLRULEADV6IPSEC,ACLRULEADV6IPSEC,operates_on
UNC:MOD ACLRULEADV6IPSEC,ACLRULEADV6IPSEC,modifies
UNC:RMV ACLRULEADV6IPSEC,ACLRULEADV6IPSEC,deletes
UNC:ADD ACLRULEADV6IPSEC,ACLRULEADV6IPSEC,creates
UNC:LST ACLRULEADV6IPSEC,ACLRULEADV6IPSEC,operates_on
UDG:MOD ACLRULEBAS4,ACLRULEBAS4,modifies
UDG:RMV ACLRULEBAS4,ACLRULEBAS4,deletes
UDG:ADD ACLRULEBAS4,ACLRULEBAS4,creates
UDG:DSP ACLRULEBAS4,ACLRULEBAS4,operates_on
UDG:LST ACLRULEBAS4,ACLRULEBAS4,operates_on
UNC:MOD ACLRULEBAS4,ACLRULEBAS4,modifies
UNC:RMV ACLRULEBAS4,ACLRULEBAS4,deletes
UNC:ADD ACLRULEBAS4,ACLRULEBAS4,creates
UNC:DSP ACLRULEBAS4,ACLRULEBAS4,operates_on
UNC:LST ACLRULEBAS4,ACLRULEBAS4,operates_on
UDG:MOD ACLRULEBAS6,ACLRULEBAS6,modifies
UDG:RMV ACLRULEBAS6,ACLRULEBAS6,deletes
UDG:ADD ACLRULEBAS6,ACLRULEBAS6,creates
UDG:DSP ACLRULEBAS6,ACLRULEBAS6,operates_on
UDG:LST ACLRULEBAS6,ACLRULEBAS6,operates_on
UNC:MOD ACLRULEBAS6,ACLRULEBAS6,modifies
UNC:RMV ACLRULEBAS6,ACLRULEBAS6,deletes
UNC:ADD ACLRULEBAS6,ACLRULEBAS6,creates
UNC:DSP ACLRULEBAS6,ACLRULEBAS6,operates_on
UNC:LST ACLRULEBAS6,ACLRULEBAS6,operates_on
UDG:MOD ACLRULEETH,ACLRULEETH,modifies
UDG:RMV ACLRULEETH,ACLRULEETH,deletes
UDG:ADD ACLRULEETH,ACLRULEETH,creates
UDG:DSP ACLRULEETH,ACLRULEETH,operates_on
UDG:LST ACLRULEETH,ACLRULEETH,operates_on
UNC:MOD ACLRULEETH,ACLRULEETH,modifies
UNC:RMV ACLRULEETH,ACLRULEETH,deletes
UNC:ADD ACLRULEETH,ACLRULEETH,creates
UNC:DSP ACLRULEETH,ACLRULEETH,operates_on
UNC:LST ACLRULEETH,ACLRULEETH,operates_on
UDG:MOD ACLRULEIF,ACLRULEIF,modifies
UDG:RMV ACLRULEIF,ACLRULEIF,deletes
UDG:ADD ACLRULEIF,ACLRULEIF,creates
UDG:DSP ACLRULEIF,ACLRULEIF,operates_on
UDG:LST ACLRULEIF,ACLRULEIF,operates_on
UNC:MOD ACLRULEIF,ACLRULEIF,modifies
UNC:RMV ACLRULEIF,ACLRULEIF,deletes
UNC:ADD ACLRULEIF,ACLRULEIF,creates
UNC:DSP ACLRULEIF,ACLRULEIF,operates_on
UNC:LST ACLRULEIF,ACLRULEIF,operates_on
UDG:DSP ACSCLASSINFO,ACSCLASSINFO,operates_on
UNC:DSP ACSCLASSINFO,ACSCLASSINFO,operates_on
UDG:OPR ACSCLIENTDBG,ACSCLIENTDBG,operates_on
UNC:OPR ACSCLIENTDBG,ACSCLIENTDBG,operates_on
UDG:CLR ACSDATA,ACSDATA,operates_on
UNC:CLR ACSDATA,ACSDATA,operates_on
UDG:DSP ACSELECTSERVICE,ACSELECTSERVICE,operates_on
UDG:LST ACSELECTSERVICE,ACSELECTSERVICE,operates_on
UDG:SET ACSELECTSERVICE,ACSELECTSERVICE,sets
UNC:DSP ACSELECTSERVICE,ACSELECTSERVICE,operates_on
UNC:LST ACSELECTSERVICE,ACSELECTSERVICE,operates_on
UNC:SET ACSELECTSERVICE,ACSELECTSERVICE,sets
UDG:FTR ACSFILE,ACSFILE,operates_on
UNC:FTR ACSFILE,ACSFILE,operates_on
UDG:RMV ACSPACKAGE,ACSPACKAGE,deletes
UDG:LOD ACSPACKAGE,ACSPACKAGE,operates_on
UDG:RBK ACSPACKAGE,ACSPACKAGE,operates_on
UDG:ACT ACSPACKAGE,ACSPACKAGE,operates_on
UDG:DSP ACSPACKAGE,ACSPACKAGE,operates_on
UNC:RMV ACSPACKAGE,ACSPACKAGE,deletes
