param_id,command_name,param_identifier,enum_value,enum_label,enum_description
20e203db05,SET TOPROXYCFG,TCPPACINGSWITCH,DISABLE,,不使能。
20e203db05,SET TOPROXYCFG,TCPPACINGSWITCH,ENABLE,,使能。
5d2b69d849,SET TOPROXYCFG,AUTOADJPARASWITCH,DISABLE,,不使能。
5d2b69d849,SET TOPROXYCFG,AUTOADJPARASWITCH,ENABLE,,使能。
95e5482ad1,SET TOPROXYCFG,QUICKACKSWITCH,DISABLE,,不使能。
95e5482ad1,SET TOPROXYCFG,QUICKACKSWITCH,ENABLE,,使能。
e62abff2da,SET TOPROXYCFG,TCPSYNCOOKIES,DISABLE,,不使能。
e62abff2da,SET TOPROXYCFG,TCPSYNCOOKIES,ENABLE,,使能。
760a08fc65,SET TOPLYPRIORITY,COMBTYPE,TO_MATCH_CELL,,仅匹配CellGroupName。
760a08fc65,SET TOPLYPRIORITY,COMBTYPE,TO_MATCH_RAT,,仅匹配RATtype。
760a08fc65,SET TOPLYPRIORITY,COMBTYPE,TO_MATCH_RAT_IMSI,,仅匹配RATtype和IMSIGroupName。
760a08fc65,SET TOPLYPRIORITY,COMBTYPE,TO_MATCH_CELL_IMSI,,仅匹配CellGroupName和IMSIGroupName。
760a08fc65,SET TOPLYPRIORITY,COMBTYPE,TO_MATCH_RAT_CELL,,仅匹配RATtype和CellGroupName。
760a08fc65,SET TOPLYPRIORITY,COMBTYPE,TO_MATCH_ALL,,RATtype，CellGroupName和IMSIGroupName均需要匹配中。
a12a702124,RMV TOPOLICYMATCH,RATTYPE,EUTRAN,,4G用户。
a12a702124,RMV TOPOLICYMATCH,RATTYPE,NR,,5G用户。
ac9a82e7a3,ADD TOPOLICYMATCH,RATTYPE,EUTRAN,,4G用户。
ac9a82e7a3,ADD TOPOLICYMATCH,RATTYPE,NR,,5G用户。
adfafdb255,SET TOEVALUATEPARA,TOEVASWITCH,ENABLE,,使能。
1888161962,SET TORELIABLECFG,TCPMTUPROBING,DISABLE,,不使能。
1888161962,SET TORELIABLECFG,TCPMTUPROBING,ENABLE,,使能。
1796e8c7ae,SET TORELIABLECFG,FLOWCTRLSW,DISABLE,,DISABLE。
1796e8c7ae,SET TORELIABLECFG,FLOWCTRLSW,CTRL_BASED_TCP_SNDBUFF,,按照TCP发送缓存是否阻塞控制。
1796e8c7ae,SET TORELIABLECFG,FLOWCTRLSW,CTRL_BESED_APP_BUFFER,,按照应用层缓存规格控制。
d95ce5371f,ADD TOBYPASSCFG,MODE,mode2,,所有的流量都上送to pod，但是不上送内核。
c1989e2594,MOD TOBYPASSCFG,MODE,mode2,,所有的流量都上送to pod，但是不上送内核。
1749f7b67e,SET TOFLOWAGINGCFG,FLOWAGINGSWITCH,DISABLE,,不使能。
1749f7b67e,SET TOFLOWAGINGCFG,FLOWAGINGSWITCH,ENABLE,,使能。
be63d3e376,ADD TOPOLICYCFG,CCALG,MW3,,CCALG_MW3。
be63d3e376,ADD TOPOLICYCFG,CCALG,BIC,,CCALG_BIC。
be63d3e376,ADD TOPOLICYCFG,CCALG,BBR,,CCALG_BBR。
be63d3e376,ADD TOPOLICYCFG,CCALG,EBBR,,CCALG_EBBR。
8026c40602,SET TOALGCFG,CCALG,CUBIC,,CCALG_CUBIC。
8026c40602,SET TOALGCFG,CCALG,MW3,,CCALG_MW3。
8026c40602,SET TOALGCFG,CCALG,BIC,,CCALG_BIC。
8026c40602,SET TOALGCFG,CCALG,BBR,,CCALG_BBR。
8026c40602,SET TOALGCFG,CCALG,EBBR,,CCALG_EBBR。
4c0c7ab8f9,SET TOALGCFG,TCPCUBICHYSTART,DISABLE,,不使能。
4c0c7ab8f9,SET TOALGCFG,TCPCUBICHYSTART,ENABLE,,使能。
5d85bc894f,SET TOALGCFG,TCPFORWARDACK,DISABLE,,不使能。
5d85bc894f,SET TOALGCFG,TCPFORWARDACK,ENABLE,,使能。
56dde7fd14,SET TOALGCFG,EBBRUSEPKTCVS,DISABLE,,不使能。
56dde7fd14,SET TOALGCFG,EBBRUSEPKTCVS,ENABLE,,使能。
d86a2cda37,SET TOALGCFG,EBBRUSE2BDP,DISABLE,,不使能。
d86a2cda37,SET TOALGCFG,EBBRUSE2BDP,ENABLE,,使能。
2b324063fe,SET TOALGCFG,EBBRUSELCYCLE,DISABLE,,不使能。
2b324063fe,SET TOALGCFG,EBBRUSELCYCLE,ENABLE,,使能。
5fac03e0f7,SET TOALGCFG,EBBRLOTGEXSTUP,DISABLE,,不使能。
5fac03e0f7,SET TOALGCFG,EBBRLOTGEXSTUP,ENABLE,,使能。
ae4ec97aa2,SET TOALGCFG,EBBRCRETGCWCP,DISABLE,,不使能。
ae4ec97aa2,SET TOALGCFG,EBBRCRETGCWCP,ENABLE,,使能。
e8f93636e0,SET TOALGCFG,EBBRRTTCNTINPB,DISABLE,,不使能。
e8f93636e0,SET TOALGCFG,EBBRRTTCNTINPB,ENABLE,,使能。
c0a9c7edfa,SET TOALGCFG,EBBRSPLTACKRT,DISABLE,,不使能。
c0a9c7edfa,SET TOALGCFG,EBBRSPLTACKRT,ENABLE,,使能。
8fce21755b,SET TOALGCFG,EBBRCOMPAGGR,DISABLE,,不使能。
8fce21755b,SET TOALGCFG,EBBRCOMPAGGR,ENABLE,,使能。
9bfc9c0553,SET TOALGCFG,EBBRAGGRDLEX,DISABLE,,不使能。
9bfc9c0553,SET TOALGCFG,EBBRAGGRDLEX,ENABLE,,使能。
e2af14c9e5,SET TOALGCFG,EBBRDRAININRB,DISABLE,,不使能。
e2af14c9e5,SET TOALGCFG,EBBRDRAININRB,ENABLE,,使能。
887e22d723,SET TOALGCFG,EBBRAARCWND,DISABLE,,不使能。
887e22d723,SET TOALGCFG,EBBRAARCWND,ENABLE,,使能。
87d250b8a8,SET TOALGCFG,EBBRAARCWNDRD,DISABLE,,不使能。
87d250b8a8,SET TOALGCFG,EBBRAARCWNDRD,ENABLE,,使能。
df5c15bc57,SET TOALGCFG,EBBRTREPBW,DISABLE,,不使能。
df5c15bc57,SET TOALGCFG,EBBRTREPBW,ENABLE,,使能。
41f57411b7,SET TOALGCFG,EBBRTREPRTT,DISABLE,,不使能。
41f57411b7,SET TOALGCFG,EBBRTREPRTT,ENABLE,,使能。
f1dd64412d,SET TOALGCFG,EBBRELBTECC,DISABLE,,不使能。
f1dd64412d,SET TOALGCFG,EBBRELBTECC,ENABLE,,使能。
33c123eea0,SET TOALGCFG,EBBRTRPCYINF,DISABLE,,不使能。
33c123eea0,SET TOALGCFG,EBBRTRPCYINF,ENABLE,,使能。
ed454b57ee,SET TOALGCFG,EBBRTRPCYINFTR,DISABLE,,不使能。
ed454b57ee,SET TOALGCFG,EBBRTRPCYINFTR,ENABLE,,使能。
d0974e6271,SET TORESMGTCFG,TCPTWREUSESW,DISABLE,,不使能。
d0974e6271,SET TORESMGTCFG,TCPTWREUSESW,ENABLE,,使能。
c417cc5551,ACT TORESTTO,SWITCH,DISABLE,,不使能。
c417cc5551,ACT TORESTTO,SWITCH,ENABLE,,使能。
ef4923874f,SET TOSERVERIPBYPASS,SERVERIPBYPASSSWITCH,DISABLE,,不使能。
ef4923874f,SET TOSERVERIPBYPASS,SERVERIPBYPASSSWITCH,ENABLE,,使能。
db3d4121c8,SET RPTGLBPARA,URLRPTCTRL,HOST,,只上报主机的URL。
b18e1d3d67,SET RPTGLBPARA,SRVLOADCTRL,ENABLE,,使能（开启）。
1d60319ac4,SET RPTGLBPARA,TLSNAMEINFORPTCTRL,ENABLE,,使能（开启）。
2ecd66d61d,SET RPTGLBPARA,URLRPTLEN,URL_LEN_DEFAULT,,URL默认上报长度。
2ecd66d61d,SET RPTGLBPARA,URLRPTLEN,URL_LEN_127_BYTES,,URL最大上报127字节。
2ecd66d61d,SET RPTGLBPARA,URLRPTLEN,URL_LEN_1280_BYTES,,URL最大上报1280字节。
2ecd66d61d,SET RPTGLBPARA,URLRPTLEN,URL_LEN_4096_BYTES,,URL最大上报4096字节。
6b011c63e0,SET RPTGLBPARA,SIGADDR,SMF_N4_SGSN,,通过N4私有扩展获取的SMF对端信令地址。
e7739d7f38,SET RPTGLBPARA,GWADDR,SMF_N4_GGSN,,通过N4私有扩展获取的SMF本端信令地址。
132dd184e9,SET RPTGLBCFG,GLOBALSWITCH,ENABLE,,使能（开启）。
f174e70b7a,SET RPTGLBCFG,DNSINSIGHTSW,ENABLE,,使能（开启）。
7e7c551527,SET RPTGLBCFG,TCPINSIGHTSW,ENABLE,,使能（开启）。
aaff28de83,SET RPTGLBCFG,UDPINSIGHTSW,ENABLE,,使能（开启）。
fa62c085dd,SET RPTGLBCFG,SUBSPOLICYSW,ENABLE,,使能（开启）。
54123673c1,SET RPTGLBCFG,SUBSCONFIGSW,ENABLE,,使能（开启）。
78a526febc,SET RPTGLBCFG,CACHESW,ENABLE,,使能（开启）。
c01292b088,SET RPTGLBCFG,SIGUFDRSW,ENABLE,,使能（开启）。
7b7cf35fbd,SET RPTGLBCFG,SIGADCHGRPTSW,ENABLE,,使能（开启）。
00f57be297,SET RPTGLBCFG,SIPINSIGHTSW,ENABLE,,使能（开启）。
532c5d952d,SET RPTGLBCFG,VOLTEINSIGHTSW,ENABLE,,使能（开启）。
37182d61a0,SET RPTGLBCFG,VONRINSIGHTSW,ENABLE,,使能（开启）。
69aa1352f2,SET RPTGLBCFG,USRGRPCTRLINFO,ENABLE,,使能（开启）。
652b682422,SET RPTENCRYPT,ENCRYMODE,USER_DEFINED,,表示加密方式使用本命令设置的加密算法和加密密钥。
55efcbb096,SET RPTENCRYPT,ENCRYALGORI,SHA1,,使用SHA1算法，有安全风险，不建议使用。
55efcbb096,SET RPTENCRYPT,ENCRYALGORI,AES256_CBC,,表示加密类型为AES256_CBC，有安全风险不建议使用。
55efcbb096,SET RPTENCRYPT,ENCRYALGORI,AES256_GCM,,表示加密类型为AES256_GCM。
55efcbb096,SET RPTENCRYPT,ENCRYALGORI,AES256_CTR,,表示加密类型为AES256_CTR。
14f8ec5c58,SET RPTPROTMPSW,SWITCH,ENABLE,,使能（开启）。
77991eb288,SET RPTBASICRECCFG,USERINFOSW,ENABLE,,使能（开启）。
6dc818e2ac,SET RPTBASICRECCFG,USERSTATSSW,ENABLE,,使能（开启）。
7d7fed8ec3,SET RPTBASICRECCFG,APPSTATSSW,ENABLE,,使能（开启）。
81f9576be7,SET RPTBASICRECCFG,RESOUCESW,ENABLE,,使能（开启）。
4ab6fa6ebf,SET RPTRATELT,SSGUSRRSDSW,ENABLE,,使能SSG主动定时重发用户信息功能。
303bc0dc4c,MOD RPTSVR,RPTSVRTYPE,ADR,,表示ADR上报使用的报表Server。
303bc0dc4c,MOD RPTSVR,RPTSVRTYPE,SUBSCRIPTION,,表示订阅消息下发使用的报表Server。
303bc0dc4c,MOD RPTSVR,RPTSVRTYPE,BASIC,,表示上报基础信息使用的报表Server。
303bc0dc4c,MOD RPTSVR,RPTSVRTYPE,BTDR,,表示上报基础信息使用的M+服务器类型。
303bc0dc4c,MOD RPTSVR,RPTSVRTYPE,ALLTYPE,,表示所有报表话单类型（不含EXP）。
303bc0dc4c,MOD RPTSVR,RPTSVRTYPE,EXP,,表示上报体验分析信息使用的报表Server。
a38e1b0acc,MOD RPTSVR,SVRFUNC,SSU,,智能板单据的报表服务器。
e19a7af363,ADD RPTSVR,RPTSVRTYPE,ADR,,表示ADR上报使用的报表Server。
e19a7af363,ADD RPTSVR,RPTSVRTYPE,SUBSCRIPTION,,表示订阅消息下发使用的报表Server。
e19a7af363,ADD RPTSVR,RPTSVRTYPE,BASIC,,表示上报基础信息使用的报表Server。
e19a7af363,ADD RPTSVR,RPTSVRTYPE,BTDR,,表示上报基础信息使用的M+服务器类型。
e19a7af363,ADD RPTSVR,RPTSVRTYPE,ALLTYPE,,表示所有报表话单类型（不含EXP）。
e19a7af363,ADD RPTSVR,RPTSVRTYPE,EXP,,表示上报体验分析信息使用的报表Server。
3e550c7368,ADD RPTSVR,SVRFUNC,SSU,,智能板单据的报表服务器。
5fd57d3442,MOD RPTSVRADDR,IPTYPE,IPV6,,IPv6地址类型。
c1cd678c94,ADD RPTSVRADDR,IPTYPE,IPV6,,IPv6地址类型。
843cccec5f,MOD RPTPROTOCOLMAP,PROTOCOLLEVEL,PROTOCOL,,协议级别。
bf1a49b310,RMV RPTPROTOCOLMAP,PROTOCOLLEVEL,PROTOCOL,,协议级别。
21d5b1a10f,ADD RPTPROTOCOLMAP,PROTOCOLLEVEL,PROTOCOL,,协议级别。
4e11aa0691,LST RPTPROTOCOLMAP,PROTOCOLLEVEL,PROTOCOL,,协议级别。
b597ab06e8,MOD RPTPOLICY,SWITCH,ENABLE,,上报功能打开，不管全局业务报表上报开关是否是上报的状态，该用户策略都会上报业务报表。
b597ab06e8,MOD RPTPOLICY,SWITCH,GLOBAL,,继承全局开关，当业务报表开关是该选项时，则用户策略是否上报业务报表取决于全局业务报表上报开关的状态。
db4dcdcacd,MOD RPTPOLICY,USERSELPLYTYPE,SPECIFIC,,指定用户选择策略名称。
42b7570a9b,ADD RPTPOLICY,SWITCH,ENABLE,,上报功能打开，不管全局业务报表上报开关是否是上报的状态，该用户策略都会上报业务报表。
42b7570a9b,ADD RPTPOLICY,SWITCH,GLOBAL,,继承全局开关，当业务报表开关是该选项时，则用户策略是否上报业务报表取决于全局业务报表上报开关的状态。
94126f1acf,ADD RPTPOLICY,USERSELPLYTYPE,SPECIFIC,,指定用户选择策略名称。
8960cd0d19,DSP RPTSUBSINFO,TYPE,SUBS_CONFIG,,查询配置类型的订阅信息。
8960cd0d19,DSP RPTSUBSINFO,TYPE,LOCAL_RPT_EVT,,查询本地可以支持订阅的RPT event信息。
8960cd0d19,DSP RPTSUBSINFO,TYPE,LOCAL_FLT_EVT,,查询本地可以支持订阅的过滤Event信息。
8960cd0d19,DSP RPTSUBSINFO,TYPE,LOCAL_AGGR_EVT,,查询本地可以支持订阅的汇聚Event信息。
8960cd0d19,DSP RPTSUBSINFO,TYPE,LOCAL_TOPN_EVT,,查询本地可以支持订阅的Topn Event信息。
9451f4d6b7,DSP RPTSUBSINFO,SUBSCONFIGTYPE,CONFIG_TYPE_FILTERGROUP,,配置过滤器组。
9451f4d6b7,DSP RPTSUBSINFO,SUBSCONFIGTYPE,CONFIG_TYPE_QOSMONITOR,,Qos Monitor规则。
9451f4d6b7,DSP RPTSUBSINFO,SUBSCONFIGTYPE,CONFIG_TYPE_HIGHBAND,,高带宽用户规则。
9451f4d6b7,DSP RPTSUBSINFO,SUBSCONFIGTYPE,CONFIG_TYPE_VVIP,,VVIP用户GRB保障策略。
9451f4d6b7,DSP RPTSUBSINFO,SUBSCONFIGTYPE,CONFIG_TYPE_USRTATS,,直播业务的用户统计信息。
9451f4d6b7,DSP RPTSUBSINFO,SUBSCONFIGTYPE,CONFIG_TYPE_CCO_CELLSPEC,,CCO小区及web应用规则。
9451f4d6b7,DSP RPTSUBSINFO,SUBSCONFIGTYPE,CONFIG_TYPE_CCO_ABRVIDEO,,CCO视频应用规则。
9451f4d6b7,DSP RPTSUBSINFO,SUBSCONFIGTYPE,CONFIG_TYPE_CCO_CELLLEVEL,,CCO小区分级规则。
9451f4d6b7,DSP RPTSUBSINFO,SUBSCONFIGTYPE,CONFIG_TYPE_CCO_CTRL,,CCO控制规则。
9451f4d6b7,DSP RPTSUBSINFO,SUBSCONFIGTYPE,CONFIG_TYPE_QOE,,客户感知体验。
b00d39b012,MOD USERSTATISTICS,RECORDMODE,HIGH_USR_LEARN,,高带宽用户自学习。
b00d39b012,MOD USERSTATISTICS,RECORDMODE,DGBCNT_AND_HIGH_USR_LEARN,,调试计数器&高带宽用户自学习。
5718a0e066,ADD USERSTATISTICS,RECORDMODE,HIGH_USR_LEARN,,高带宽用户自学习。
5718a0e066,ADD USERSTATISTICS,RECORDMODE,DGBCNT_AND_HIGH_USR_LEARN,,调试计数器&高带宽用户自学习。
134e81e6c6,DSP LBVPN,VPNQUERYMODE,VALID,,查询有效的VPN。
134e81e6c6,DSP LBVPN,VPNQUERYMODE,INVALID,,查询无效的VPN。
134e81e6c6,DSP LBVPN,VPNQUERYMODE,ALL,,查询所有VPN。
