物理网元,版本,节点,节点名称,节点命令,使用命令(子节点),配置(后配),配置依赖参数(前后节点顺序以J列为准),"逻辑依赖参数是否为叶子
（1：叶子， 先配置，0：根）
目标列为（I） 调整配置命令指向根节点, 默认为1 （以此列为准）",是否匹配（操作命令的条件放到该列）,索引检查(依赖命令的条件放到该列),检查错误提示【中文】,检查错误提示【英文】,检查默认参数【中文】,检查默认参数提示【英文】,条件,条件逻辑判断（默认空为等于）,条件取值,"0：弱绑定，1：强绑定，bind[k],set[j] 全部为0，其余为1
set需要联动删除",是否联动删除  1：是  0：否（当前默认是0， j列是set为1）
UDG,20.13.2,FLTBINDFLOWF,FILTERNAME,ADD FLTBINDFLOWF,UDG:ADD_FLTBINDFLOWF,UDG:ADD_FLTBINDFLOWF.FILTERNAME,UDG:ADD_FILTER.FILTERNAME,1,ADD_FLTBINDFLOWF.FILTERNAME != null,ADD_FLTBINDFLOWF.FILTERNAME.equalsIgnoreCase(ADD_FILTER.FILTERNAME),"[FILTERNAME]的值为[{0}],核查不通过,提示:[ADD_FLTBINDFLOWF.FILTERNAME 引用的ADD_FILTER.FILTERNAME不存在，请检查]","[FILTERNAME] value is [{0}],Failed to pass the check,desc:[ADD_FLTBINDFLOWF.FILTERNAME quoting ADD_FILTER.FILTERNAME not exist，Please check]","命令自动生效参数[FILTERNAME]的默认值为[{0}],核查不通过,提示:[ADD_FLTBINDFLOWF.FILTERNAME 引用的ADD_FILTER.FILTERNAME不存在，请检查]","Command auto-execution parameters[FILTERNAME] default value is [{0}],Failed to pass the check,desc:[ADD_FLTBINDFLOWF.FILTERNAME quoting ADD_FILTER.FILTERNAME not exist，Please check]",nan,,nan,1,0
UDG,20.13.2,URRGROUP,DOWNURRNAME1,ADD URRGROUP,UDG:ADD_URRGROUP,UDG:ADD_URRGROUP.DOWNURRNAME1,UDG:ADD_URR.URRNAME,1,ADD_URRGROUP.DOWNURRNAME1 != null,ADD_URRGROUP.DOWNURRNAME1.equalsIgnoreCase(ADD_URR.URRNAME),"[DOWNURRNAME1]的值为[{0}],核查不通过,提示:[ADD_URRGROUP.DOWNURRNAME1 引用的ADD_URR.URRNAME不存在，请检查]","[DOWNURRNAME1] value is [{0}],Failed to pass the check,desc:[ADD_URRGROUP.DOWNURRNAME1 quoting ADD_URR.URRNAME not exist，Please check]","命令自动生效参数[DOWNURRNAME1]的默认值为[{0}],核查不通过,提示:[ADD_URRGROUP.DOWNURRNAME1 引用的ADD_URR.URRNAME不存在，请检查]","Command auto-execution parameters[DOWNURRNAME1] default value is [{0}],Failed to pass the check,desc:[ADD_URRGROUP.DOWNURRNAME1 quoting ADD_URR.URRNAME not exist，Please check]",nan,,nan,1,0
UDG,20.13.2,URRGROUP,DOWNURRNAME2,ADD URRGROUP,UDG:ADD_URRGROUP,UDG:ADD_URRGROUP.DOWNURRNAME2,UDG:ADD_URR.URRNAME,1,ADD_URRGROUP.DOWNURRNAME2 != null,ADD_URRGROUP.DOWNURRNAME2.equalsIgnoreCase(ADD_URR.URRNAME),"[DOWNURRNAME2]的值为[{0}],核查不通过,提示:[ADD_URRGROUP.DOWNURRNAME2 引用的ADD_URR.URRNAME不存在，请检查]","[DOWNURRNAME2] value is [{0}],Failed to pass the check,desc:[ADD_URRGROUP.DOWNURRNAME2 quoting ADD_URR.URRNAME not exist，Please check]","命令自动生效参数[DOWNURRNAME2]的默认值为[{0}],核查不通过,提示:[ADD_URRGROUP.DOWNURRNAME2 引用的ADD_URR.URRNAME不存在，请检查]","Command auto-execution parameters[DOWNURRNAME2] default value is [{0}],Failed to pass the check,desc:[ADD_URRGROUP.DOWNURRNAME2 quoting ADD_URR.URRNAME not exist，Please check]",nan,,nan,1,0
UDG,20.13.2,URRGROUP,DOWNURRNAME3,ADD URRGROUP,UDG:ADD_URRGROUP,UDG:ADD_URRGROUP.DOWNURRNAME3,UDG:ADD_URR.URRNAME,1,ADD_URRGROUP.DOWNURRNAME3 != null,ADD_URRGROUP.DOWNURRNAME3.equalsIgnoreCase(ADD_URR.URRNAME),"[DOWNURRNAME3]的值为[{0}],核查不通过,提示:[ADD_URRGROUP.DOWNURRNAME3 引用的ADD_URR.URRNAME不存在，请检查]","[DOWNURRNAME3] value is [{0}],Failed to pass the check,desc:[ADD_URRGROUP.DOWNURRNAME3 quoting ADD_URR.URRNAME not exist，Please check]","命令自动生效参数[DOWNURRNAME3]的默认值为[{0}],核查不通过,提示:[ADD_URRGROUP.DOWNURRNAME3 引用的ADD_URR.URRNAME不存在，请检查]","Command auto-execution parameters[DOWNURRNAME3] default value is [{0}],Failed to pass the check,desc:[ADD_URRGROUP.DOWNURRNAME3 quoting ADD_URR.URRNAME not exist，Please check]",nan,,nan,1,0
UDG,20.13.2,URRGROUP,UPURRNAME1,ADD URRGROUP,UDG:ADD_URRGROUP,UDG:ADD_URRGROUP.UPURRNAME1,UDG:ADD_URR.URRNAME,1,ADD_URRGROUP.UPURRNAME1 != null,ADD_URRGROUP.UPURRNAME1.equalsIgnoreCase(ADD_URR.URRNAME),"[UPURRNAME1]的值为[{0}],核查不通过,提示:[ADD_URRGROUP.UPURRNAME1 引用的ADD_URR.URRNAME不存在，请检查]","[UPURRNAME1] value is [{0}],Failed to pass the check,desc:[ADD_URRGROUP.UPURRNAME1 quoting ADD_URR.URRNAME not exist，Please check]","命令自动生效参数[UPURRNAME1]的默认值为[{0}],核查不通过,提示:[ADD_URRGROUP.UPURRNAME1 引用的ADD_URR.URRNAME不存在，请检查]","Command auto-execution parameters[UPURRNAME1] default value is [{0}],Failed to pass the check,desc:[ADD_URRGROUP.UPURRNAME1 quoting ADD_URR.URRNAME not exist，Please check]",nan,,nan,1,0
UDG,20.13.2,URRGROUP,UPURRNAME2,ADD URRGROUP,UDG:ADD_URRGROUP,UDG:ADD_URRGROUP.UPURRNAME2,UDG:ADD_URR.URRNAME,1,ADD_URRGROUP.UPURRNAME2 != null,ADD_URRGROUP.UPURRNAME2.equalsIgnoreCase(ADD_URR.URRNAME),"[UPURRNAME2]的值为[{0}],核查不通过,提示:[ADD_URRGROUP.UPURRNAME2 引用的ADD_URR.URRNAME不存在，请检查]","[UPURRNAME2] value is [{0}],Failed to pass the check,desc:[ADD_URRGROUP.UPURRNAME2 quoting ADD_URR.URRNAME not exist，Please check]","命令自动生效参数[UPURRNAME2]的默认值为[{0}],核查不通过,提示:[ADD_URRGROUP.UPURRNAME2 引用的ADD_URR.URRNAME不存在，请检查]","Command auto-execution parameters[UPURRNAME2] default value is [{0}],Failed to pass the check,desc:[ADD_URRGROUP.UPURRNAME2 quoting ADD_URR.URRNAME not exist，Please check]",nan,,nan,1,0
UDG,20.13.2,URRGROUP,UPURRNAME3,ADD URRGROUP,UDG:ADD_URRGROUP,UDG:ADD_URRGROUP.UPURRNAME3,UDG:ADD_URR.URRNAME,1,ADD_URRGROUP.UPURRNAME3 != null,ADD_URRGROUP.UPURRNAME3.equalsIgnoreCase(ADD_URR.URRNAME),"[UPURRNAME3]的值为[{0}],核查不通过,提示:[ADD_URRGROUP.UPURRNAME3 引用的ADD_URR.URRNAME不存在，请检查]","[UPURRNAME3] value is [{0}],Failed to pass the check,desc:[ADD_URRGROUP.UPURRNAME3 quoting ADD_URR.URRNAME not exist，Please check]","命令自动生效参数[UPURRNAME3]的默认值为[{0}],核查不通过,提示:[ADD_URRGROUP.UPURRNAME3 引用的ADD_URR.URRNAME不存在，请检查]","Command auto-execution parameters[UPURRNAME3] default value is [{0}],Failed to pass the check,desc:[ADD_URRGROUP.UPURRNAME3 quoting ADD_URR.URRNAME not exist，Please check]",nan,,nan,1,0
