MOD 命令,ADD 命令,索引参数,共有参数,MOD 独立存在,MOD 参数,ADD 参数,预留其他参数关联条件,特殊关联条件(使用独有的groovy脚本实现的核查),网元类型,网元版本,错误信息英文,错误信息中文,继承
MOD ABNTRAFFICDT,ADD ABNTRAFFICDT,APN,"APN,SWITCH,TRAFFICBEHAVIORSWITCH",2,,,,,UDG,20.13.2,The ADD ABNTRAFFICDT command modified by MOD ABNTRAFFICDT does not exist.,MOD ABNTRAFFICDT修改的ADD ABNTRAFFICDT不存在
MOD ABSTIMERANGE,ADD ABSTIMERANGE,"TIMERANGENAME,ABSTIMERANGESEQ","STARTTIME,STARTDATE,ENDTIME,ENDDATE,TIMERANGENAME,CFGDOMAINNAME,ABSTIMERANGESEQ",2,,,,,UDG,20.13.2,The ADD ABSTIMERANGE command modified by MOD ABSTIMERANGE does not exist.,MOD ABSTIMERANGE修改的ADD ABSTIMERANGE不存在
MOD ACL,ADD ACL,ACLNAME,"ACLNAME,CFGDOMAINNAME,MATCHORDER",2,,,,,UDG,20.13.2,The ADD ACL command modified by MOD ACL does not exist.,MOD ACL修改的ADD ACL不存在
MOD ACLBINDAPN,ADD ACLBINDAPN,"APN,DIRECTION","APN,ACLNAME,TIMERANGENAME,DIRECTION",2,,,,,UDG,20.13.2,The ADD ACLBINDAPN command modified by MOD ACLBINDAPN does not exist.,MOD ACLBINDAPN修改的ADD ACLBINDAPN不存在
MOD ACLDEFAULT,ADD ACLDEFAULT,DIRECTION,"ACLNAME,DIRECTION",2,,,,,UDG,20.13.2,The ADD ACLDEFAULT command modified by MOD ACLDEFAULT does not exist.,MOD ACLDEFAULT修改的ADD ACLDEFAULT不存在
MOD ACLGROUP,ADD ACLGROUP,ACLNAME,"ACLNAME,ACLDESCRIPTION,ACLSTEP,ACLMATCHORDER",2,,ACLTYPE,,,UDG,20.13.2,The ADD ACLGROUP command modified by MOD ACLGROUP does not exist.,MOD ACLGROUP修改的ADD ACLGROUP不存在
MOD ACLGROUP6,ADD ACLGROUP6,ACLNAME,"ACLNAME,ACLDESCRIPTION,ACLSTEP,ACLMATCHORDER",2,,ACLTYPE,,,UDG,20.13.2,The ADD ACLGROUP6 command modified by MOD ACLGROUP6 does not exist.,MOD ACLGROUP6修改的ADD ACLGROUP6不存在
