product,feature_id,category,feature_dir,doc_name,has_task_example,has_operation_steps,has_operation_flow,doc_path
UNC,,组网功能,支持NBNS（NetBIOS Name Server）,配置NBNS_85082410,True,True,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\组网功能\支持NBNS（NetBIOS Name Server）\配置NBNS_85082410.md
UNC,WSFD-011305,组网功能,WSFD-011305 Radius鉴权接入/调测Radius鉴权接入,调测本地鉴权接入_95351133,False,True,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\组网功能\WSFD-011305 Radius鉴权接入\调测Radius鉴权接入\调测本地鉴权接入_95351133.md
UNC,WSFD-011305,组网功能,WSFD-011305 Radius鉴权接入/调测Radius鉴权接入,调测透明接入_95351130,False,True,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\组网功能\WSFD-011305 Radius鉴权接入\调测Radius鉴权接入\调测透明接入_95351130.md
UNC,WSFD-011305,组网功能,WSFD-011305 Radius鉴权接入/调测Radius鉴权接入,调测透明鉴权接入_95351132,False,True,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\组网功能\WSFD-011305 Radius鉴权接入\调测Radius鉴权接入\调测透明鉴权接入_95351132.md
UNC,WSFD-011305,组网功能,WSFD-011305 Radius鉴权接入/调测Radius鉴权接入,调测非透明接入_95351131,False,True,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\组网功能\WSFD-011305 Radius鉴权接入\调测Radius鉴权接入\调测非透明接入_95351131.md
UNC,WSFD-011306,组网功能,WSFD-011306 Radius功能/激活RADIUS功能,配置RADIUS功能_32909765,True,True,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\组网功能\WSFD-011306 Radius功能\激活RADIUS功能\配置RADIUS功能_32909765.md
UNC,WSFD-011306,组网功能,WSFD-011306 Radius功能/激活RADIUS功能,配置业务触发RADIUS功能_33000859,True,True,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\组网功能\WSFD-011306 Radius功能\激活RADIUS功能\配置业务触发RADIUS功能_33000859.md
UNC,WSFD-011306,组网功能,WSFD-011306 Radius功能/激活RADIUS功能,配置到AAA Server的数据（单平面+静态路由+BFD组网）_32044985,True,True,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\组网功能\WSFD-011306 Radius功能\激活RADIUS功能\配置到AAA Server的数据（单平面+静态路由+BFD组网）_32044985.md
UNC,WSFD-011306,组网功能,WSFD-011306 Radius功能/激活RADIUS功能,配置到AAA Server的数据（双平面+OSPF动态路由+BFD组网 ）_31879931,True,True,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\组网功能\WSFD-011306 Radius功能\激活RADIUS功能\配置到AAA Server的数据（双平面+OSPF动态路由+BFD组网 ）_31879931.md
UNC,WSFD-011306,组网功能,WSFD-011306 Radius功能/激活RADIUS功能,配置到AAA Server的数据（带内组网GRE VPN）_32723577,True,True,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\组网功能\WSFD-011306 Radius功能\激活RADIUS功能\配置到AAA Server的数据（带内组网GRE VPN）_32723577.md
