candidate_id,candidate_name,source_ids_json,feature_codes_json,command_ids_json,object_chain_hints_json,semantic_tags_json,confidence_hint,status
CAND-BA-004,配额耗尽动作,"[""SRC-UDG-BA-TOPIC-004"",""SRC-UNC-TOPIC-001"",""SRC-UNC-CMD-001"",""SRC-UNC-CMD-002"",""SRC-UNC-FEAT-004""]","[""WSFD-011206"",""WSFD-109101""]","[""CMD-UNC-ADD-CCT"",""CMD-UNC-ADD-QUOTAEXHAUSTACT""]","[""CCT->QuotaExhaustAction""]","[""BA.QuotaSemantics"",""BA.PolicyActionSemantics"",""BA.RuntimeSemantics""]",high,promoted_to_NS-BA-004
CAND-BA-005,配额耗尽后重定向,"[""SRC-UDG-BA-TOPIC-004"",""SRC-UDG-BA-TOPIC-007"",""SRC-UDG-BA-TOPIC-008"",""SRC-UNC-CMD-001"",""SRC-UNC-FEAT-005"",""SRC-UDG-FEAT-004""]","[""GWFD-110101"",""GWFD-020351"",""WSFD-011206"",""WSFD-109101""]","[""CMD-UNC-ADD-CCT"",""CMD-UNC-ADD-QUOTAEXHAUSTACT"",""CMD-UDG-ADD-REDIRECT"",""CMD-UDG-ADD-PCCACTIONPROP"",""CMD-UDG-ADD-PCCPOLICYGRP"",""CMD-UDG-ADD-RULE""]","[""L7Filter->FlowFilter->Redirect->PCCActionProp->PccPolicyGrp->Rule->UserProfile"",""CCT->QuotaExhaustAction->Redirect FAR action""]","[""BA.QuotaSemantics"",""BA.PolicyActionSemantics"",""BA.RuntimeSemantics"",""BA.BindingSemantics""]",high,promoted_to_NS-BA-005
CAND-BA-006,七层重定向,"[""SRC-UDG-BA-TOPIC-007"",""SRC-UDG-BA-TOPIC-008"",""SRC-UDG-CMD-001"",""SRC-UDG-FEAT-004""]","[""GWFD-110101"",""GWFD-020351""]","[""CMD-UDG-ADD-L7FILTER"",""CMD-UDG-ADD-REDIRECT"",""CMD-UDG-ADD-PCCACTIONPROP"",""CMD-UDG-ADD-PCCPOLICYGRP"",""CMD-UDG-ADD-RULE"",""CMD-UDG-ADD-RULEBINDING""]","[""L7Filter->FlowFilter->Redirect->PCCActionProp->PccPolicyGrp->Rule->UserProfile->RuleBinding""]","[""BA.TrafficRecognitionSemantics"",""BA.PolicyActionSemantics"",""BA.RuleSemantics"",""BA.BindingSemantics""]",high,promoted_to_NS-BA-006
